method,coverage,avg_num_neg_per_item,avg_semantic_similarity,avg_cf_distance,avg_reliability,avg_neg_weight,pair_path
crds_full,0.34433073110626833,6.886614799499512,0.4434055685997009,0.10275710374116898,0.4414021074771881,0.13856801390647888,cache/crds/AmazonMix-6/crds_pairs_step500.pt
crds_no_transition,0.23258208968947983,1.479453444480896,0.4802844524383545,0.21918222308158875,0.46507617831230164,0.09899650514125824,cache/crds/AmazonMix-6/crds_pairs_no_transition.pt
crds_no_reliability,0.8105063768355816,7.427454948425293,0.4857754111289978,0.11310641467571259,1.0,0.23133093118667603,cache/crds/AmazonMix-6/crds_pairs_no_reliability.pt
no_cooccurrence,0.3338390665085101,4.386895179748535,0.5077266693115234,0.0,0.4317840039730072,0.2108844667673111,cache/crds/AmazonMix-6/crds_pairs_no_cooccurrence.pt
